BlockType,BlockNumber,TrialNumber,isGo?,PresentationTime,ReactionTime,ReactionTime2,Hit
Test,0,0,True,0,0.6301422,0,True
Test,0,1,True,1.524139,2.070847,0,True
Test,0,2,True,3.048279,3.528702,0,True
Test,0,3,True,4.572403,5.086029,0,True
Test,0,4,True,6.096542,6.510956,0,True
Test,0,5,True,7.620667,8.034836,0,True
Test,0,6,True,9.144806,9.409882,0,True
Test,0,7,False,10.66895,10.88431,0,False
Test,0,8,True,12.19307,12.425,0,True
Test,0,9,True,13.71797,13.83318,14.18108,True
Test,0,10,True,15.24133,15.77147,16.11946,True
Test,0,11,True,16.76585,16.84831,17.22934,True
Test,0,12,False,18.28961,18.45528,18.8363,False
Test,0,13,True,19.81374,20.01254,20.42671,True
Test,0,14,True,21.338,21.61951,22.01711,True
Test,0,15,True,22.862,23.21025,23.59106,True
Test,0,16,True,24.38686,24.41988,24.80103,True
Test,0,17,True,25.91058,25.9931,26.3907,True
Test,0,18,True,27.43451,27.58351,27.94798,True
Test,0,19,True,28.95854,29.17435,29.6212,True
Test,0,20,True,30.48267,30.49951,30.86406,True
Test,0,21,True,32.00681,32.0565,32.45465,True
Test,0,22,True,33.53122,33.61426,33.99481,True
Test,0,23,False,35.05507,35.30357,35.6846,False
Test,0,24,True,36.57921,36.89397,37.30864,True
Test,0,25,True,38.10333,38.20274,38.8654,True
Test,0,26,True,39.62802,39.6606,40.10791,True
